anio;EMPRESA;TOTAL
2017;"COOPERATIVA DE TRABAJO 3 DE JULIO LIMITADA";4742594
2017;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA";944678
2017;"D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR";48247102
2017;"D.U.V.I. SOCIEDAD ANONIMA";12070357
2017;"EL NUEVO HALCON S.A.";16922619
2017;"EL PUENTE S.A.T.";20966559
2017;"EL RAPIDO ARGENTINO COMPAÑIA DE MICRO OMNIBUS S.A";3547
2017;"EL URBANO SRL";2349903
2017;"EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.";13290346
2017;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";17241882
2017;"EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F.";14440056
2017;"EMPRESA 501 SA";18071704
2017;"EMPRESA ANTARTIDA ARGENTINA S.A.T.";8603821
2017;"EMPRESA CINCO DE AGOSTO S.R.L.";3753067
2017;"EMPRESA CIUDAD DE SAN FERNANDO SA";31817303
2017;"EMPRESA DE TRANSP. MARIANO MORENO S.A.";5671665
2017;"EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A";33914360
2017;"EMPRESA DE TRANSPORTE DEL SUR SRL";11683382
2017;"EMPRESA DE TRANSPORTE PARQUE COSTERO DEL SUR S.R.L";41442
2017;"EMPRESA DE TRANSPORTES 104 S.R.L.";76005
2017;"EMPRESA DE TRANSPORTES AMERICA S.A.C.I.";11165348
2017;"EMPRESA DE TRANSPORTES EL LITORAL S.A.";20271631
2017;"EMPRESA DE TRANSPORTES SANTA RITA  SRL";358833
2017;"EMPRESA DEL OESTE SAT";41503343
2017;"EMPRESA J.M. EZEIZA S.R.L.";20475838
2017;"EMPRESA LINEA 216 S.A.T.";108366565
2017;"EMPRESA LINEA SIETE SAT";12856768
2017;"EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL";4317406
2017;"EMPRESA MONTE GRANDE S.A. LINEA 501";43812579
2017;"EMPRESA NUEVE DE JULIO S.A.T.";23832847
2017;"EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.";30069192
2017;"EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L.";5464301
2017;"EMRESA MONTERREY S.R.L.";2136438
2017;"EXPRESO ARSENO SRL";11725032
2017;"EXPRESO EMPALME LOBOS S.R.L.";851986
2017;"EXPRESO ESTEBAN ECHEVERRIA S.R.L.";22969202
2017;"EXPRESO GENERAL SARMIENTO S.A.";41766552
2017;"EXPRESO LA PLATA BUENOS AIRES S.A.";11164640
2017;"EXPRESO LOMAS S.A.";16363500
2017;"EXPRESO NUEVE DE JULIO S.A.";17501800
2017;"EXPRESO PARQUE EL LUCERO S.A. DE TRANSPORTES";26524448
2017;"EXPRESO QUILMES S.A.";24181059
2017;"EXPRESO SAN ISIDRO S.A.T.C.I.F.I.";14362492
2017;"EXPRESO VILLA GALICIA SAN JOSE S.A.";46410032
2017;"EXPRESO VILLA NUEVA S.A.";22718179
2017;"FERROVIAS S.A.";22096656
2017;"FUERTE BARRAGAN S.A.T.I.C.I.";12509069
2017;"GENERAL PUEYRREDON S.A.T.C.I.";13035361
2017;"GENERAL TOMAS GUIDO S.A.C.I.F.";61887052
2017;"GRUPO LINEA 179 S.A.";5379915
2017;"JUAN B. JUSTO S.A.T.C.I.";15236978
2017;"LA CABAÑA S.A.";79385152
2017;"LA CENTRAL DE ESCOBAR SA";22399921
2017;"LA CENTRAL DE VICENTE LOPEZ S.A.";6166863
2017;"LA FLOR DE LUJAN SRL";463091
2017;"LA NUEVA METROPOL S.A.";54472093
2017;"LA PRIMERA DE GRAND BOURG S.A.";55180618
2017;"LA PRIMERA DE LA ESCONDIDA SRL";1368420
2017;"LA PRIMERA DE MALVINAS ARGENTINAS UTE";4315922
2017;"LA PRIMERA DE MARTINEZ S.A";16478026
2017;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS";28695460
2017;"LIBERTADOR SAN MARTIN SAT";19615526
2017;"LINEA 10 S.A.";10163722
2017;"LINEA 17 S.A.";15115160
2017;"LINEA 213 S.A. DE TRANSPORTE";17376180
2017;"LINEA 22 S.A.";5198698
2017;"LINEA 71 S.A.";17733198
2017;"LINEA DE MICROOMNIBUS 47 S.A.T.C.F.I.";10963927
2017;"LINEA EXPRESO LINIERS S.A.I.Y C.";8875401
2017;"LINEA SESENTA SA";11728523
2017;"LOS CONSTITUYENTES S.A.T.";36429283
2017;"M.O.D.O. S.A. DE TRANSPORTE AUTOMOTOR";17202705
2017;"MAYO S.A.T.A.";8890936
2017;METROVIAS;318070572
2017;"METROVIAS S.A. (URQUIZA)";20146945
2017;"MICRO OMNIBUS AVENIDA S.A.";11387634
2017;"MICRO OMNIBUS ESTE S.A";8729673
2017;"MICRO OMNIBUS GENERAL SAN MARTIN SAC";35179328
2017;"MICRO OMNIBUS GRAL PACHECO SRL";15775940
2017;"MICRO OMNIBUS MITRE S.A.";21390702
2017;"MICRO OMNIBUS NORTE S.A.";28081935
2017;"MICRO OMNIBUS O´HIGGINS S.A.T.";6913965
2017;"MICRO OMNIBUS PRIMERA JUNTA S.A";35956262
